13331,Dining and Drinking , Restaurant , Russian Restaurant , Pelmeni House,,
13332,Dining and Drinking , Restaurant , Salad Restaurant,,,
13333,Dining and Drinking , Restaurant , Latin American Restaurant , Salvadoran Restaurant,,
13334,Dining and Drinking , Restaurant , Sandwich Spot,,,
13335,Dining and Drinking , Restaurant , Asian Restaurant , Satay Restaurant,,
13336,Dining and Drinking , Restaurant , Scandinavian Restaurant,,,
13337,Dining and Drinking , Restaurant , Scottish Restaurant,,,
13338,Dining and Drinking , Restaurant , Seafood Restaurant,,,
13339,Dining and Drinking , Restaurant , Middle Eastern Restaurant , Shawarma Restaurant,,
13340,Dining and Drinking , Restaurant , Asian Restaurant , Singaporean Restaurant,,
13341,Dining and Drinking , Restaurant , Slovak Restaurant,,,
13342,Dining and Drinking , Restaurant , Soup Spot,,,
13343,Dining and Drinking , Restaurant , Latin American Restaurant , South American Restaurant,,
13344,Dining and Drinking , Restaurant , Southern Food Restaurant,,,
13345,Dining and Drinking , Restaurant , Spanish Restaurant,,,
13346,Dining and Drinking , Restaurant , Spanish Restaurant , Paella Restaurant,,
13347,Dining and Drinking , Restaurant , Spanish Restaurant , Tapas Restaurant,,
13348,Dining and Drinking , Restaurant , Sri Lankan Restaurant,,,
13349,Dining and Drinking , Restaurant , Swiss Restaurant,,,
13350,Dining and Drinking , Restaurant , Middle Eastern Restaurant , Syrian Restaurant,,
13351,Dining and Drinking , Restaurant , Eastern European Restaurant , Tatar Restaurant,,
13352,Dining and Drinking , Restaurant , Asian Restaurant , Thai Restaurant,,
13353,Dining and Drinking , Restaurant , Asian Restaurant , Thai Restaurant , Som Tum Restaurant,
13354,Dining and Drinking , Restaurant , Theme Restaurant,,,
13355,Dining and Drinking , Restaurant , Asian Restaurant , Tibetan Restaurant,,
13356,Dining and Drinking , Restaurant , Turkish Restaurant,,,
13357,Dining and Drinking , Restaurant , Turkish Restaurant , Borek Place,,
13358,Dining and Drinking , Restaurant , Turkish Restaurant , Cigkofte Place,,
13359,Dining and Drinking , Restaurant , Turkish Restaurant , Çöp Şiş Place,,
13360,Dining and Drinking , Restaurant , Turkish Restaurant , Doner Restaurant,,
13361,Dining and Drinking , Restaurant , Turkish Restaurant , Gozleme Place,,
13362,Dining and Drinking , Restaurant , Turkish Restaurant , Kofte Place,,
13363,Dining and Drinking , Restaurant , Turkish Restaurant , Kokoreç Restaurant,,
13364,Dining and Drinking , Restaurant , Turkish Restaurant , Kumpir Restaurant,,
13365,Dining and Drinking , Restaurant , Turkish Restaurant , Kumru Restaurant,,
13366,Dining and Drinking , Restaurant , Turkish Restaurant , Manti Place,,
13367,Dining and Drinking , Restaurant , Turkish Restaurant , Meyhane,,
13368,Dining and Drinking , Restaurant , Turkish Restaurant , Pide Place,,
13369,Dining and Drinking , Restaurant , Turkish Restaurant , Pilavcı,,
13370,Dining and Drinking , Restaurant , Turkish Restaurant , Söğüş Place,,
13371,Dining and Drinking , Restaurant , Turkish Restaurant , Tantuni Restaurant,,
13372,Dining and Drinking , Restaurant , Turkish Restaurant , Turkish Coffeehouse,,
13373,Dining and Drinking , Restaurant , Turkish Restaurant , Turkish Home Cooking Restaurant,,
13374,Dining and Drinking , Restaurant , Ukrainian Restaurant,,,
13375,Dining and Drinking , Restaurant , Ukrainian Restaurant , Varenyky Restaurant,,
13376,Dining and Drinking , Restaurant , Ukrainian Restaurant , West-Ukrainian Restaurant,,
13377,Dining and Drinking , Restaurant , Vegan and Vegetarian Restaurant,,,
13378,Dining and Drinking , Restaurant , Latin American Restaurant , South American Restaurant , Venezuelan Restaurant,
13379,Dining and Drinking , Restaurant , Asian Restaurant , Vietnamese Restaurant,,
13380,Dining and Drinking , Restaurant , Middle Eastern Restaurant , Yemeni Restaurant,,
13383,Dining and Drinking , Restaurant , Steakhouse,,,
13384,Dining and Drinking , Restaurant , Middle Eastern Restaurant , Persian Restaurant , Tabbakhi,
13388,Dining and Drinking , Restaurant , Wings Joint,,,
13390,Dining and Drinking , Restaurant , Gluten-Free Restaurant,,,
